sweep,R,T,W
5040,2,6,0.249851
5040,3,1,0.731476
5040,3,2,0.534649
5040,3,3,0.392348
5040,3,4,0.287595
5040,3,5,0.213545
5040,3,6,0.158037
5040,4,1,0.686126
5040,4,2,0.468762
5040,4,3,0.320243
5040,4,4,0.219226
5040,4,5,0.153435
5040,4,6,0.106305
5040,5,1,0.645892
5040,5,2,0.414498
5040,5,3,0.267338
5040,5,4,0.169581
5040,5,5,0.113091
5040,5,6,0.0769565
5080,1,1,0.861419
5080,1,2,0.742991
5080,1,3,0.640452
5080,1,4,0.553138
5080,1,5,0.477112
5080,1,6,0.41142
5080,2,1,0.784364
5080,2,2,0.615929
5080,2,3,0.482721
5080,2,4,0.376469
5080,2,5,0.294861
5080,2,6,0.232055
5080,3,1,0.726043
5080,3,2,0.527603
5080,3,3,0.381796
5080,3,4,0.274237
5080,3,5,0.198695
5080,3,6,0.145848
5080,4,1,0.676108
5080,4,2,0.459028
5080,4,3,0.312583
5080,4,4,0.209228
5080,4,5,0.141401
5080,4,6,0.099326
5080,5,1,0.63087
5080,5,2,0.401619
5080,5,3,0.257224
5080,5,4,0.1629
5080,5,5,0.104541
5080,5,6,0.0699259
5120,1,1,0.863821
5120,1,2,0.747072
5120,1,3,0.648692
5120,1,4,0.563958
5120,1,5,0.490256
5120,1,6,0.425962
5120,2,1,0.789737
5120,2,2,0.625263
5120,2,3,0.497125
5120,2,4,0.394617
5120,2,5,0.313843
5120,2,6,0.249975
5120,3,1,0.735569
5120,3,2,0.540756
5120,3,3,0.399752
5120,3,4,0.293785
5120,3,5,0.215727
5120,3,6,0.155394
5120,4,1,0.69124
5120,4,2,0.476087
5120,4,3,0.328143
5120,4,4,0.224517
5120,4,5,0.154588
5120,4,6,0.107204
5120,5,1,0.651021
5120,5,2,0.419632
5120,5,3,0.269912
5120,5,4,0.172805
5120,5,5,0.109213
5120,5,6,0.0692533
5160,1,1,0.864962
5160,1,2,0.748371
5160,1,3,0.64508
5160,1,4,0.555421
5160,1,5,0.480073
5160,1,6,0.415897
5160,2,1,0.79164
5160,2,2,0.626078
5160,2,3,0.492215
5160,2,4,0.389311
5160,2,5,0.310042
5160,2,6,0.248078
5160,3,1,0.738388
5160,3,2,0.545874
5160,3,3,0.398075
5160,3,4,0.294959
5160,3,5,0.220746
5160,3,6,0.164115
5160,4,1,0.693171
5160,4,2,0.479976
5160,4,3,0.327788
5160,4,4,0.230966
5160,4,5,0.16358
5160,4,6,0.115302
5160,5,1,0.654101
5160,5,2,0.426883
5160,5,3,0.274146
5160,5,4,0.182272
5160,5,5,0.121467
5160,5,6,0.0793535
5200,1,1,0.864637
5200,1,2,0.749211
5200,1,3,0.64766
5200,1,4,0.557882
5200,1,5,0.480335
5200,1,6,0.412557
5200,2,1,0.788165
5200,2,2,0.624334
5200,2,3,0.492177
5200,2,4,0.386164
5200,2,5,0.302071
5200,2,6,0.236275
5200,3,1,0.731504
5200,3,2,0.539337
5200,3,3,0.393324
5200,3,4,0.286362
5200,3,5,0.208825
5200,3,6,0.150791
5200,4,1,0.685165
5200,4,2,0.475106
5200,4,3,0.326277
5200,4,4,0.222892
5200,4,5,0.14955
5200,4,6,0.099059
5200,5,1,0.64418
5200,5,2,0.420887
5200,5,3,0.272193
5200,5,4,0.176767
5200,5,5,0.111921
5200,5,6,0.0746872
5240,1,1,0.864018
5240,1,2,0.748974
5240,1,3,0.648911
5240,1,4,0.562206
5240,1,5,0.486955
5240,1,6,0.422983
5240,2,1,0.789109
5240,2,2,0.626283
5240,2,3,0.496322
5240,2,4,0.393743
5240,2,5,0.311975
5240,2,6,0.247743
5240,3,1,0.734162
5240,3,2,0.542971
5240,3,3,0.400598
5240,3,4,0.295788
5240,3,5,0.2179
5240,3,6,0.161013
5240,4,1,0.687484
5240,4,2,0.475787
5240,4,3,0.327925
5240,4,4,0.22725
5240,4,5,0.158322
5240,4,6,0.112683
5240,5,1,0.643516
5240,5,2,0.419697
5240,5,3,0.270777
5240,5,4,0.176098
5240,5,5,0.114029
5240,5,6,0.0741594
5280,1,1,0.864267
5280,1,2,0.74781
5280,1,3,0.646739
5280,1,4,0.560574
5280,1,5,0.485442
5280,1,6,0.421184
5280,2,1,0.787705
5280,2,2,0.621298
5280,2,3,0.489178
5280,2,4,0.388353
5280,2,5,0.309145
5280,2,6,0.245161
5280,3,1,0.732806
5280,3,2,0.537969
5280,3,3,0.391414
5280,3,4,0.287843
5280,3,5,0.212625
5280,3,6,0.157448
5280,4,1,0.686875
5280,4,2,0.472641
5280,4,3,0.321208
5280,4,4,0.219965
5280,4,5,0.15437
5280,4,6,0.109668
5280,5,1,0.646116
5280,5,2,0.417012
5280,5,3,0.263682
5280,5,4,0.170269
5280,5,5,0.115029
5280,5,6,0.0791091
5320,1,1,0.863144
5320,1,2,0.744662
5320,1,3,0.642161
5320,1,4,0.554376
5320,1,5,0.478625
5320,1,6,0.412651
5320,2,1,0.78855
5320,2,2,0.622479
5320,2,3,0.490129
5320,2,4,0.38711
5320,2,5,0.304564
5320,2,6,0.238169
5320,3,1,0.735704
5320,3,2,0.54287
5320,3,3,0.403007
5320,3,4,0.300417
5320,3,5,0.223282
5320,3,6,0.163482
5320,4,1,0.692304
5320,4,2,0.47989
5320,4,3,0.336884
5320,4,4,0.237197
5320,4,5,0.166777
5320,4,6,0.114778
5320,5,1,0.652138
5320,5,2,0.422918
5320,5,3,0.280047
5320,5,4,0.185578
5320,5,5,0.12246
5320,5,6,0.077498
5360,1,1,0.864216
5360,1,2,0.746988
5360,1,3,0.646427
5360,1,4,0.559358
5360,1,5,0.482095
5360,1,6,0.415779
5360,2,1,0.789362
5360,2,2,0.626333
5360,2,3,0.496913
5360,2,4,0.395167
5360,2,5,0.31244
5360,2,6,0.248145
5360,3,1,0.73309
5360,3,2,0.543813
5360,3,3,0.403848
5360,3,4,0.305226
5360,3,5,0.226888
5360,3,6,0.170408
5360,4,1,0.684424
5360,4,2,0.478347
5360,4,3,0.335278
5360,4,4,0.240313
5360,4,5,0.168837
5360,4,6,0.118839
5360,5,1,0.642557
5360,5,2,0.42458
5360,5,3,0.282549
5360,5,4,0.193621
5360,5,5,0.128818
5360,5,6,0.0834959
5400,1,1,0.864879
5400,1,2,0.749114
5400,1,3,0.648837
5400,1,4,0.562038
5400,1,5,0.488557
5400,1,6,0.424556
5400,2,1,0.790888
5400,2,2,0.627747
5400,2,3,0.500856
5400,2,4,0.400269
5400,2,5,0.321854
5400,2,6,0.261782
5400,3,1,0.735374
5400,3,2,0.543587
5400,3,3,0.406944
5400,3,4,0.30733
5400,3,5,0.232388
5400,3,6,0.177789
5400,4,1,0.687222
5400,4,2,0.478382
5400,4,3,0.340733
5400,4,4,0.243313
5400,4,5,0.172868
5400,4,6,0.124207
5400,5,1,0.643232
5400,5,2,0.420795
5400,5,3,0.283414
5400,5,4,0.194937
5400,5,5,0.131885
5400,5,6,0.0920392
5440,1,1,0.863498
5440,1,2,0.746518
5440,1,3,0.645708
5440,1,4,0.558746
5440,1,5,0.482342
5440,1,6,0.416393
5440,2,1,0.788082
5440,2,2,0.624027
5440,2,3,0.494956
5440,2,4,0.395307
5440,2,5,0.315408
5440,2,6,0.249894
5440,3,1,0.731974
5440,3,2,0.542367
5440,3,3,0.403763
5440,3,4,0.303896
5440,3,5,0.227277
5440,3,6,0.168384
5440,4,1,0.685441
5440,4,2,0.479054
5440,4,3,0.335315
5440,4,4,0.240161
5440,4,5,0.170525
5440,4,6,0.118239
5440,5,1,0.644229
5440,5,2,0.426112
5440,5,3,0.281875
5440,5,4,0.190967
5440,5,5,0.126327
5440,5,6,0.0808715
5480,1,1,0.863846
5480,1,2,0.746933
5480,1,3,0.647071
5480,1,4,0.560658
5480,1,5,0.483819
5480,1,6,0.417578
5480,2,1,0.789652
5480,2,2,0.624729
5480,2,3,0.496713
5480,2,4,0.395943
5480,2,5,0.31369
5480,2,6,0.249276
5480,3,1,0.736554
5480,3,2,0.546919
5480,3,3,0.406557
5480,3,4,0.305371
5480,3,5,0.227808
5480,3,6,0.170684
5480,4,1,0.693046
5480,4,2,0.483689
5480,4,3,0.336784
5480,4,4,0.239821
5480,4,5,0.170693
5480,4,6,0.12033
5480,5,1,0.653326
5480,5,2,0.431344
5480,5,3,0.282427
5480,5,4,0.188699
5480,5,5,0.126542
5480,5,6,0.0849485
5520,1,1,0.863107
5520,1,2,0.745717
5520,1,3,0.641967
5520,1,4,0.553963
5520,1,5,0.479092
5520,1,6,0.412856
5520,2,1,0.787978
5520,2,2,0.620822
5520,2,3,0.487174
5520,2,4,0.385154
5520,2,5,0.304808
5520,2,6,0.238715
5520,3,1,0.734271
5520,3,2,0.538589
5520,3,3,0.393526
5520,3,4,0.288523
5520,3,5,0.214068
5520,3,6,0.156404
5520,4,1,0.689282
5520,4,2,0.474159
5520,4,3,0.326441
5520,4,4,0.222998
5520,4,5,0.154572
5520,4,6,0.104879
5520,5,1,0.650218
5520,5,2,0.42101
5520,5,3,0.274644
5520,5,4,0.173896
5520,5,5,0.114698
5520,5,6,0.0741913
5560,1,1,0.862836
5560,1,2,0.745327
5560,1,3,0.643178
5560,1,4,0.554125
5560,1,5,0.476864
5560,1,6,0.412579
5560,2,1,0.788585
5560,2,2,0.625738
5560,2,3,0.494763
5560,2,4,0.388752
5560,2,5,0.305849
5560,2,6,0.241915
5560,3,1,0.73401
5560,3,2,0.543587
5560,3,3,0.401888
5560,3,4,0.294816
5560,3,5,0.218055
5560,3,6,0.161063
5560,4,1,0.688864
5560,4,2,0.480246
5560,4,3,0.336219
